Model,Condition,Precision,Recall,F1
YOLOv8n,original,0.949324,0.955782,0.952542
Faster R-CNN,original,0.886329,0.981293,0.931396
YOLOv8n,blur_gaussian,0.946087,0.925170,0.935512
Faster R-CNN,blur_gaussian,0.750000,0.938776,0.833837
YOLOv8n,blur_motion,0.877876,0.843537,0.860364
Faster R-CNN,blur_motion,0.787692,0.870748,0.827141
YOLOv8n,noise_gaussian,0.331828,0.250000,0.285160
Faster R-CNN,noise_gaussian,0.000000,0.000000,0.000000
YOLOv8n,noise_salt_pepper,0.303303,0.343537,0.322169
Faster R-CNN,noise_salt_pepper,0.712766,0.113946,0.196481
YOLOv8n,lighting_darker,0.903172,0.920068,0.911542
Faster R-CNN,lighting_darker,0.761974,0.892857,0.822240
YOLOv8n,lighting_brighter,0.954466,0.926871,0.940466
Faster R-CNN,lighting_brighter,0.819625,0.965986,0.886807
YOLOv8n,jpeg_quality_20,0.930796,0.914966,0.922813
Faster R-CNN,jpeg_quality_20,0.869085,0.937075,0.901800
YOLOv8n,jpeg_quality_50,0.937075,0.937075,0.937075
Faster R-CNN,jpeg_quality_50,0.892142,0.984694,0.936136
