epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,172.187,1.18105,3.80264,1.42288,0.39147,0.46668,0.42834,0.28231,1.22565,2.71692,1.40279,0.000333175,0.000333175,0.0670157
2,344.605,1.07121,1.95348,1.33598,0.72672,0.67418,0.74808,0.4619,1.23737,1.8728,1.4206,0.000659909,0.000659909,0.0340091
3,519.923,0.99503,1.38277,1.25006,0.86857,0.75189,0.85403,0.54421,1.26429,1.52271,1.34229,0.000980044,0.000980044,0.000995925
4,695.345,0.95737,1.17283,1.20199,0.91891,0.78469,0.8988,0.57868,1.20445,1.26035,1.33825,0.0009703,0.0009703,0.0009703
5,871.786,0.92632,1.05307,1.17341,0.88359,0.83263,0.90768,0.59108,1.22521,1.22048,1.31759,0.0009604,0.0009604,0.0009604
6,1049.23,0.88859,0.97757,1.14857,0.88793,0.85588,0.91516,0.58752,1.28316,1.15215,1.33313,0.0009505,0.0009505,0.0009505
7,1224.9,0.87517,0.92411,1.13847,0.90046,0.85582,0.928,0.62538,1.15885,1.05803,1.26524,0.0009406,0.0009406,0.0009406
8,1398.86,0.84302,0.86167,1.1176,0.91522,0.86005,0.92469,0.60743,1.19921,1.04472,1.30247,0.0009307,0.0009307,0.0009307
9,1575.53,0.8342,0.83104,1.10965,0.91854,0.86486,0.93087,0.63697,1.1208,1.01085,1.24722,0.0009208,0.0009208,0.0009208
10,1753.56,0.81021,0.793,1.0958,0.92955,0.86538,0.93458,0.617,1.1937,0.97624,1.29177,0.0009109,0.0009109,0.0009109
11,1931.94,0.79921,0.7668,1.09187,0.92016,0.87434,0.93487,0.64233,1.08516,0.89829,1.25729,0.000901,0.000901,0.000901
12,2110.76,0.77893,0.75067,1.07218,0.92778,0.86743,0.93071,0.62569,1.17568,0.94892,1.29368,0.0008911,0.0008911,0.0008911
13,2290.46,0.76536,0.72325,1.06863,0.8768,0.90394,0.93195,0.65292,1.08421,0.89561,1.21099,0.0008812,0.0008812,0.0008812
14,2468.27,0.75807,0.70485,1.06148,0.88815,0.90668,0.93782,0.64765,1.08779,0.87433,1.21845,0.0008713,0.0008713,0.0008713
15,2646.24,0.74175,0.68177,1.05368,0.89487,0.87796,0.93917,0.64964,1.10351,0.88169,1.22637,0.0008614,0.0008614,0.0008614
16,2823.37,0.73044,0.66608,1.04643,0.89816,0.90572,0.94603,0.65013,1.08497,0.86136,1.2388,0.0008515,0.0008515,0.0008515
